Latitude,Longitude,Depth(m),E1,E2,PeakSV,Time(UTC),"Track Name"
48.6403342724329,17.2882803008014,0.79,35.237,19.274,191.900,2020-03-19T12:47:34,"Chart 19_03_2020 [0]"
48.6403342724329,17.2882983275474,0.80,31.523,17.927,191.721,2020-03-19T12:47:35,"Chart 19_03_2020 [0]"
48.6403342724329,17.2883163542933,0.76,24.080,13.075,181.024,2020-03-19T12:47:36,"Chart 19_03_2020 [0]"
48.6403342724329,17.2883343810393,0.69,22.703,7.887,175.582,2020-03-19T12:47:38,"Chart 19_03_2020 [0]"
48.6403342724329,17.2883524077852,0.62,24.878,12.995,181.750,2020-03-19T12:47:40,"Chart 19_03_2020 [0]"
48.6403342724329,17.2883704345312,0.61,24.925,18.891,189.165,2020-03-19T12:47:42,"Chart 19_03_2020 [0]"
48.6403521400982,17.2883794479042,0.60,28.329,22.268,188.491,2020-03-19T12:47:43,"Chart 19_03_2020 [0]"
48.6403521400982,17.2883974746501,0.52,31.536,23.886,187.798,2020-03-19T12:47:45,"Chart 19_03_2020 [0]"
48.6403521400982,17.2884155013961,0.46,30.032,23.174,192.736,2020-03-19T12:47:47,"Chart 19_03_2020 [0]"
48.6403521400982,17.288433528142,0.46,30.096,22.444,196.920,2020-03-19T12:47:48,"Chart 19_03_2020 [0]"
48.6403521400982,17.2884515548879,0.47,30.239,21.108,198.059,2020-03-19T12:47:50,"Chart 19_03_2020 [0]"
48.6403521400982,17.2884695816339,0.46,32.239,23.488,198.459,2020-03-19T12:47:51,"Chart 19_03_2020 [0]"
48.6403521400982,17.2884876083798,0.43,31.635,21.433,197.771,2020-03-19T12:47:53,"Chart 19_03_2020 [0]"
48.6403521400982,17.2884966217528,0.38,17.697,9.302,196.549,2020-03-19T12:47:54,"Chart 19_03_2020 [0]"
48.6403521400982,17.2885146484988,0.34,4.809,0.938,203.159,2020-03-19T12:47:56,"Chart 19_03_2020 [0]"
48.6403521400982,17.2885326752447,0.33,5.611,0.914,211.843,2020-03-19T12:47:57,"Chart 19_03_2020 [0]"
48.6403521400982,17.2885507019907,0.35,13.488,5.322,210.500,2020-03-19T12:47:59,"Chart 19_03_2020 [0]"
48.6403521400982,17.2885687287366,0.40,20.145,9.489,204.915,2020-03-19T12:48:01,"Chart 19_03_2020 [0]"
48.6403521400982,17.2885867554826,0.44,26.077,13.184,201.775,2020-03-19T12:48:02,"Chart 19_03_2020 [0]"
48.6403521400982,17.2885957688555,0.45,30.833,17.606,198.621,2020-03-19T12:48:04,"Chart 19_03_2020 [0]"
48.6403521400982,17.2886137956015,0.39,19.435,9.998,197.092,2020-03-19T12:48:05,"Chart 19_03_2020 [0]"
48.6403342724329,17.2886318223474,0.33,6.572,0.944,207.319,2020-03-19T12:48:07,"Chart 19_03_2020 [0]"
48.6403342724329,17.2886498490934,0.34,5.739,0.291,213.965,2020-03-19T12:48:08,"Chart 19_03_2020 [0]"
48.6403342724329,17.2886678758393,0.44,11.935,3.097,205.732,2020-03-19T12:48:10,"Chart 19_03_2020 [0]"
48.6403342724329,17.2886859025853,0.47,24.650,9.483,197.913,2020-03-19T12:48:12,"Chart 19_03_2020 [0]"
48.6403342724329,17.2887039293312,0.56,31.666,12.152,192.421,2020-03-19T12:48:13,"Chart 19_03_2020 [0]"
48.6403342724329,17.2887129427042,0.60,38.364,18.471,189.852,2020-03-19T12:48:14,"Chart 19_03_2020 [0]"
48.6403342724329,17.2887309694502,0.63,41.417,23.725,190.378,2020-03-19T12:48:16,"Chart 19_03_2020 [0]"
48.6403342724329,17.2887489961961,0.73,42.200,23.009,190.051,2020-03-19T12:48:18,"Chart 19_03_2020 [0]"
48.6403521400982,17.2887670229421,0.75,43.413,25.181,188.138,2020-03-19T12:48:19,"Chart 19_03_2020 [0]"
48.6403521400982,17.288785049688,0.70,38.117,25.123,184.467,2020-03-19T12:48:21,"Chart 19_03_2020 [0]"
48.6403521400982,17.2888030764339,0.68,35.694,23.090,185.764,2020-03-19T12:48:22,"Chart 19_03_2020 [0]"
48.6403521400982,17.2888211031799,0.63,35.018,21.392,189.559,2020-03-19T12:48:24,"Chart 19_03_2020 [0]"
48.6403640518715,17.2888301165529,0.60,33.073,20.096,191.594,2020-03-19T12:48:25,"Chart 19_03_2020 [0]"
48.6403640518715,17.2888481432988,0.47,29.954,18.862,190.178,2020-03-19T12:48:27,"Chart 19_03_2020 [0]"
48.6403640518715,17.2888661700448,0.44,28.723,15.620,192.821,2020-03-19T12:48:28,"Chart 19_03_2020 [0]"
48.6403819195263,17.2888661700448,0.42,24.447,11.547,197.807,2020-03-19T12:48:29,"Chart 19_03_2020 [0]"
48.6403819195263,17.2888841967907,0.36,13.338,6.297,200.811,2020-03-19T12:48:30,"Chart 19_03_2020 [0]"
48.6403819195263,17.2889022235367,0.34,3.574,1.268,212.491,2020-03-19T12:48:31,"Chart 19_03_2020 [0]"
